Index,en,fr,es,de
0,A human turned Pokémon discovered by [VAR COLOR(0001)]Sobbie.\nlThey're looking for the reason they were summoned to this world.,,,
1,"A complicated, but endearing mess of a Pokémon, Sobbie has big dreams of becoming a Bounty Hunter that allows other Pokémon to live peacefully.",,,
2,"Lumi silently puts himself in harms way for the greater good. In his ideal world, every Pokémon has the strength to protect the ones they love.",,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
