en,fr,it,de,es,ko,kana
[VAR PKNICK(0000)] lost a life bar!,[VAR PKNICK(0000)] a perdu une barre de vie !,[VAR PKNICK(0000)] ha perso una barra di energia!,[VAR PKNICK(0000)] hat eine Lebensleiste verloren!,¡[VAR PKNICK(0000)] ha perdido una barra de vida!,[VAR PKNICK(0000)]의 체력 게이지가 하나 사라졌다!,[VAR PKNICK(0000)]の　たいりょくゲージが　1ほん　なくなった！
The wild [VAR PKNICK(0000)] lost a life bar!,Le [VAR PKNICK(0000)] sauvage a perdu une barre de vie !,[VAR PKNICK(0000)] selvatico ha perso una barra di energia!,[VAR PKNICK(0000)] (Wild) hat eine Lebensleiste verloren!,¡El [VAR PKNICK(0000)] salvaje ha perdido una barra de vida!,야생 [VAR PKNICK(0000)]의 체력 게이지가 하나 사라졌다!,やせいの　[VAR PKNICK(0000)]の　たいりょくゲージが　1ほん　なくなった！
The opposing [VAR PKNICK(0000)] lost a life bar!,Le [VAR PKNICK(0000)] ennemi a perdu une barre de vie !,[VAR PKNICK(0000)] nemico ha perso una barra di energia!,[VAR PKNICK(0000)] (Gegner) hat eine Lebensleiste verloren!,¡El [VAR PKNICK(0000)] enemigo ha perdido una barra de vida!,상대 [VAR PKNICK(0000)]의 체력 게이지가 하나 사라졌다!,あいての　[VAR PKNICK(0000)]の　たいりょくゲージが　1ほん　なくなった！
,,,,,,
[VAR PKNICK(0000)] lost several life bars!,[VAR PKNICK(0000)] a perdu plusieurs barres de vie !,[VAR PKNICK(0000)] ha perso più barre di energia!,[VAR PKNICK(0000)] hat mehrere Lebensleisten verloren!,¡[VAR PKNICK(0000)] ha perdido varias barras de vida!,[VAR PKNICK(0000)]의 체력 게이지가 여러 개 사라졌다!,[VAR PKNICK(0000)]の　たいりょくゲージが　なんぼんも　なくなった！
The wild [VAR PKNICK(0000)] lost several life bars!,Le [VAR PKNICK(0000)] sauvage a perdu plusieurs barres de vie !,[VAR PKNICK(0000)] selvatico ha perso più barre di energia!,[VAR PKNICK(0000)] (Wild) hat mehrere Lebensleisten verloren!,¡El [VAR PKNICK(0000)] salvaje ha perdido varias barras de vida!,야생 [VAR PKNICK(0000)]의 체력 게이지가 여러 개 사라졌다!,やせいの　[VAR PKNICK(0000)]の　たいりょくゲージが　なんぼんも　なくなった！
The opposing [VAR PKNICK(0000)] lost several life bars!,Le [VAR PKNICK(0000)] ennemi a perdu plusieurs barres de vie !,[VAR PKNICK(0000)] nemico ha perso più barre di energia!,[VAR PKNICK(0000)] (Gegner) hat mehrere Lebensleisten verloren!,¡El [VAR PKNICK(0000)] enemigo ha perdido varias barras de vida!,상대 [VAR PKNICK(0000)]의 체력 게이지가 여러 개 사라졌다!,あいての　[VAR PKNICK(0000)]の　たいりょくゲージが　なんぼんも　なくなった！
,,,,,,
[VAR PKNICK(0000)] gained a life bar!,[VAR PKNICK(0000)] a gagné une barre de vie !,[VAR PKNICK(0000)] ha guadagnato una barra di energia!,[VAR PKNICK(0000)] hat eine Lebensleiste erhalten!,¡[VAR PKNICK(0000)] ha ganado una barra de vida!,[VAR PKNICK(0000)]의 체력 게이지가 하나 늘어났다!,[VAR PKNICK(0000)]の　たいりょくゲージが　1ほん　ふえた！
The wild [VAR PKNICK(0000)] gained a life bar!,Le [VAR PKNICK(0000)] sauvage a gagné une barre de vie !,[VAR PKNICK(0000)] selvatico ha guadagnato una barra di energia!,[VAR PKNICK(0000)] (Wild) hat eine Lebensleiste erhalten!,¡El [VAR PKNICK(0000)] salvaje ha ganado una barra de vida!,야생 [VAR PKNICK(0000)]의 체력 게이지가 하나 늘어났다!,やせいの　[VAR PKNICK(0000)]の　たいりょくゲージが　1ほん　ふえた！
The opposing [VAR PKNICK(0000)] gained a life bar!,Le [VAR PKNICK(0000)] ennemi a gagné une barre de vie !,[VAR PKNICK(0000)] nemico ha guadagnato una barra di energia!,[VAR PKNICK(0000)] (Gegner) hat eine Lebensleiste erhalten!,¡El [VAR PKNICK(0000)] enemigo ha ganado una barra de vida!,상대 [VAR PKNICK(0000)]의 체력 게이지가 하나 늘어났다!,あいての　[VAR PKNICK(0000)]の　たいりょくゲージが　1ほん　ふえた！
,,,,,,
[VAR PKNICK(0000)] gained several life bars!,[VAR PKNICK(0000)] a gagné plusieurs barres de vie !,[VAR PKNICK(0000)] ha guadagnato più barre di energia!,[VAR PKNICK(0000)] hat mehrere Lebensleisten erhalten!,¡[VAR PKNICK(0000)] ha ganado varias barras de vida!,[VAR PKNICK(0000)]의 체력 게이지가 여러 개 늘어났다!,[VAR PKNICK(0000)]の　たいりょくゲージが　なんぼんも　ふえた！
The wild [VAR PKNICK(0000)] gained several life bars!,Le [VAR PKNICK(0000)] sauvage a gagné plusieurs barres de vie !,[VAR PKNICK(0000)] selvatico ha guadagnato più barre di energia!,[VAR PKNICK(0000)] (Wild) hat mehrere Lebensleisten erhalten!,¡El [VAR PKNICK(0000)] salvaje ha ganado varias barras de vida!,야생 [VAR PKNICK(0000)]의 체력 게이지가 여러 개 늘어났다!,やせいの　[VAR PKNICK(0000)]の　たいりょくゲージが　なんぼんも　ふえた！
The opposing [VAR PKNICK(0000)] gained several life bars!,Le [VAR PKNICK(0000)] ennemi a gagné plusieurs barres de vie !,[VAR PKNICK(0000)] nemico ha guadagnato più barre di energia!,[VAR PKNICK(0000)] (Gegner) hat mehrere Lebensleisten erhalten!,¡El [VAR PKNICK(0000)] enemigo ha ganado varias barras de vida!,상대 [VAR PKNICK(0000)]의 체력 게이지가 여러 개 늘어났다!,あいての　[VAR PKNICK(0000)]の　たいりょくゲージが　なんぼんも　ふえた！
,,,,,,
[VAR PKNICK(0000)] blocked the Pokéball !,[VAR PKNICK(0000)] détourne la Pokéball !,[VAR PKNICK(0000)] ha respinto la Poke Ball!,[VAR PKNICK(0000)] hat den Pokéball abgewehrt!,¡[VAR PKNICK(0000)] ha rechazado la Poke Ball!,[VAR PKNICK(0000)]이(가) 몬스터볼을 팀겨냈다!,[VAR PKNICK(0000)]は　モンスターボールを　はじきかえした！
The wild [VAR PKNICK(0000)] blocked the Pokéball !,Le [VAR PKNICK(0000)] sauvage détourne la Pokéball !,[VAR PKNICK(0000)] selvatico ha respinto la Poke Ball!,[VAR PKNICK(0000)] (Wild) hat den Pokéball abgewehrt!,¡El [VAR PKNICK(0000)] salvaje ha rechazado la Poke Ball!,야생 [VAR PKNICK(0000)]이(가) 몬스터볼을 팀겨냈다!,やせいの　[VAR PKNICK(0000)]は　モンスターボールを　はじきかえした！
The opposing [VAR PKNICK(0000)] blocked the Pokéball !,Le [VAR PKNICK(0000)] ennemi détourne la Pokéball !,[VAR PKNICK(0000)] nemico ha respinto la Poke Ball!,[VAR PKNICK(0000)] (Gegner) hat den Pokéball abgewehrt!,¡El [VAR PKNICK(0000)] enemigo ha rechazado la Poke Ball!,상대 [VAR PKNICK(0000)]이(가) 몬스터볼을 팀겨냈다!,あいての　[VAR PKNICK(0000)]は　モンスターボールを　はじきかえした！
,,,,,,
[VAR PKNICK(0000)] cannot be drained!,[VAR PKNICK(0000)] ne peut pas être drainé !,[VAR PKNICK(0000)] non può essere prosciugato!,[VAR PKNICK(0000)] kann nicht ausgesaugt werden!,¡[VAR PKNICK(0000)] no puede ser drenado!,[VAR PKNICK(0000)]에게서는 체력을 흡수할 수 없다!,[VAR PKNICK(0000)]から　たいりょくを　すいとれない！
The wild [VAR PKNICK(0000)] cannot be drained!,Le [VAR PKNICK(0000)] sauvage ne peut pas être drainé !,[VAR PKNICK(0000)] selvatico non può essere prosciugato!,[VAR PKNICK(0000)] (Wild) kann nicht ausgesaugt werden!,¡El [VAR PKNICK(0000)] salvaje no puede ser drenado!,야생 [VAR PKNICK(0000)]에게서는 체력을 흡수할 수 없다!,やせいの　[VAR PKNICK(0000)]から　たいりょくを　すいとれない！
The opposing [VAR PKNICK(0000)] cannot be drained!,Le [VAR PKNICK(0000)] ennemi ne peut pas être drainé !,[VAR PKNICK(0000)] nemico non può essere prosciugato!,[VAR PKNICK(0000)] (Gegner) kann nicht ausgesaugt werden!,¡El [VAR PKNICK(0000)] enemigo no puede ser drenado!,상대 [VAR PKNICK(0000)]에게서는 체력을 흡수할 수 없다!,あいての　[VAR PKNICK(0000)]から　たいりょくを　すいとれない！
,,,,,,
[VAR PKNICK(0000)] cannot be weakened!,[VAR PKNICK(0000)] ne peut pas être affaibli !,[VAR PKNICK(0000)] non può essere indebolito!,[VAR PKNICK(0000)] kann nicht geschwächt werden!,¡[VAR PKNICK(0000)] no puede ser debilitado!,[VAR PKNICK(0000)]의 능력을 떨어뜨릴 수 없다!,[VAR PKNICK(0000)]の　のうりょくを　さげられない！
The wild [VAR PKNICK(0000)] cannot be weakened!,Le [VAR PKNICK(0000)] sauvage ne peut pas être affaibli !,[VAR PKNICK(0000)] selvatico non può essere indebolito!,[VAR PKNICK(0000)] (Wild) kann nicht geschwächt werden!,¡El [VAR PKNICK(0000)] salvaje no puede ser debilitado!,야생 [VAR PKNICK(0000)]의 능력을 떨어뜨릴 수 없다!,やせいの　[VAR PKNICK(0000)]の　のうりょくを　さげられない！
The opposing [VAR PKNICK(0000)] cannot be weakened!,Le [VAR PKNICK(0000)] ennemi ne peut pas être affaibli !,[VAR PKNICK(0000)] nemico non può essere indebolito!,[VAR PKNICK(0000)] (Gegner) kann nicht geschwächt werden!,¡El [VAR PKNICK(0000)] enemigo no puede ser debilitado!,상대 [VAR PKNICK(0000)]의 능력을 떨어뜨릴 수 없다!,あいての　[VAR PKNICK(0000)]の　のうりょくを　さげられない！
,,,,,,
[VAR PKNICK(0000)] cannot be afflicted!,[VAR PKNICK(0000)] ne peut pas être affecté !,[VAR PKNICK(0000)] non può essere afflitto da problemi di stato!,[VAR PKNICK(0000)] kann nicht beeinträchtigt werden!,¡[VAR PKNICK(0000)] no puede ser afectado!,[VAR PKNICK(0000)]에게는 상태 이상을 걸 수 없다!,[VAR PKNICK(0000)]に　じょうたいいじょうを　あたえられない！
The wild [VAR PKNICK(0000)] cannot be afflicted!,Le [VAR PKNICK(0000)] sauvage ne peut pas être affecté !,[VAR PKNICK(0000)] selvatico non può essere afflitto da problemi di stato!,[VAR PKNICK(0000)] (Wild) kann nicht beeinträchtigt werden!,¡El [VAR PKNICK(0000)] salvaje no puede ser afectado!,야생 [VAR PKNICK(0000)]에게는 상태 이상을 걸 수 없다!,やせいの　[VAR PKNICK(0000)]に　じょうたいいじょうを　あたえられない！
