"en","fr","it","de","es","ko","kana"
"A wild [VAR PKNAME(0000)] appeared!","Un [VAR PKNAME(0000)] sauvage apparaît !","È apparso un [VAR PKNAME(0000)] selvatico!","Ein wildes [VAR PKNAME(0000)] erscheint!","¡Un [VAR PKNAME(0000)] salvaje ha aparecido!","야생의 [VAR PKNAME(0000)]이(가) 나타났다!","やせいの [VAR PKNAME(0000)] が あらわれた！"
"Boss [VAR PKNAME(0000)] appeared!","Le boss [VAR PKNAME(0000)] apparaît !","È apparso il Boss [VAR PKNAME(0000)]!","Boss [VAR PKNAME(0000)] erscheint!","¡El Boss [VAR PKNAME(0000)] ha aparecido!","보스 [VAR PKNAME(0000)]이(가) 나타났다!","ボス[VAR PKNAME(0000)] が あらわれた！"
,,,,,,
"A wild [VAR PKNAME(0000)] and [VAR PKNAME(0001)] appeared!","Un [VAR PKNAME(0000)] et un [VAR PKNAME(0001)] sauvages apparaissent !","Sono apparsi un [VAR PKNAME(0000)] selvatico e un [VAR PKNAME(0001)] selvatico!","Ein wildes [VAR PKNAME(0000)] und ein wildes [VAR PKNAME(0001)] sind erschienen!","¡Un [VAR PKNAME(0000)] salvaje y un [VAR PKNAME(0001)] salvaje han aparecido!","야생의 [VAR PKNAME(0000)]과(와) [VAR PKNAME(0001)]이(가) 나타났다!","やせいの [VAR PKNAME(0000)] と [VAR PKNAME(0001)] が あらわれた！"
"Boss [VAR PKNAME(0000)] appeared with a wild [VAR PKNAME(0001)]!","Le boss [VAR PKNAME(0000)] apparaît accompagné d'un [VAR PKNAME(0001)] sauvage !","È apparso il Boss [VAR PKNAME(0000)] insieme a un [VAR PKNAME(0001)] selvatico!","Boss [VAR PKNAME(0000)] erscheint zusammen mit einem wilden [VAR PKNAME(0001)]!","¡El Boss [VAR PKNAME(0000)] ha aparecido junto a un [VAR PKNAME(0001)] salvaje!","보스 [VAR PKNAME(0000)]이(가) 야생의 [VAR PKNAME(0001)]과(와) 함께 나타났다!","ボス[VAR PKNAME(0000)] が やせいの [VAR PKNAME(0001)] と いっしょに あらわれた！"
"Boss [VAR PKNAME(0001)] appeared with a wild [VAR PKNAME(0000)]!","Le boss [VAR PKNAME(0001)] apparaît accompagné d'un [VAR PKNAME(0000)] sauvage !","È apparso il Boss [VAR PKNAME(0001)] insieme a un [VAR PKNAME(0000)] selvatico!","Boss [VAR PKNAME(0001)] erscheint zusammen mit einem wilden [VAR PKNAME(0000)]!","¡El Boss [VAR PKNAME(0001)] ha aparecido junto a un [VAR PKNAME(0000)] salvaje!","보스 [VAR PKNAME(0001)]이(가) 야생의 [VAR PKNAME(0000)]과(와) 함께 나타났다!","ボス[VAR PKNAME(0001)] が やせいの [VAR PKNAME(0000)] と いっしょに あらわれた！"
"Boss [VAR PKNAME(0000)] and [VAR PKNAME(0001)] appeared!","Les boss [VAR PKNAME(0000)] et [VAR PKNAME(0001)] apparaissent !","Sono apparsi i Boss [VAR PKNAME(0000)] e [VAR PKNAME(0001)]!","Boss [VAR PKNAME(0000)] und Boss [VAR PKNAME(0001)] sind erschienen!","¡Los Boss [VAR PKNAME(0000)] y [VAR PKNAME(0001)] han aparecido!","보스 [VAR PKNAME(0000)]과(와) [VAR PKNAME(0001)]이(가) 나타났다!","ボス[VAR PKNAME(0000)] と ボス[VAR PKNAME(0001)] が あらわれた！"
,,,,,,
"A wild [VAR PKNAME(0000)], [VAR PKNAME(0001)] and [VAR PKNAME(0002)] appeared!","Un [VAR PKNAME(0000)], un [VAR PKNAME(0001)] et un [VAR PKNAME(0002)] sauvages apparaissent !","Sono apparsi un [VAR PKNAME(0000)] selvatico, un [VAR PKNAME(0001)] selvatico e un [VAR PKNAME(0002)] selvatico!","Ein wildes [VAR PKNAME(0000)], ein wildes [VAR PKNAME(0001)] und ein wildes [VAR PKNAME(0002)] sind erschienen!","¡Un [VAR PKNAME(0000)], un [VAR PKNAME(0001)] y un [VAR PKNAME(0002)] salvajes han aparecido!","야생의 [VAR PKNAME(0000)], [VAR PKNAME(0001)] 및 [VAR PKNAME(0002)]이(가) 나타났다!","やせいの [VAR PKNAME(0000)], [VAR PKNAME(0001)] と [VAR PKNAME(0002)] が あらわれた！"
"Boss [VAR PKNAME(0000)] appeared with a wild [VAR PKNAME(0001)] and [VAR PKNAME(0002)]!","Le boss [VAR PKNAME(0000)] apparaît accompagné d'un [VAR PKNAME(0001)] et d'un [VAR PKNAME(0002)] sauvages !","È apparso il Boss [VAR PKNAME(0000)] insieme a un [VAR PKNAME(0001)] selvatico e un [VAR PKNAME(0002)] selvatico!","Boss [VAR PKNAME(0000)] erscheint zusammen mit einem wilden [VAR PKNAME(0001)] und einem wilden [VAR PKNAME(0002)]!","¡El Boss [VAR PKNAME(0000)] ha aparecido junto a un [VAR PKNAME(0001)] y un [VAR PKNAME(0002)] salvajes!","보스 [VAR PKNAME(0000)]이(가) 야생의 [VAR PKNAME(0001)], [VAR PKNAME(0002)]과(와) 함께 나타났다!","ボス[VAR PKNAME(0000)] が やせいの [VAR PKNAME(0001)] と [VAR PKNAME(0002)] と いっしょに あらわれた！"
"Boss [VAR PKNAME(0001)] appeared with a wild [VAR PKNAME(0000)] and [VAR PKNAME(0002)]!","Le boss [VAR PKNAME(0001)] apparaît accompagné d'un [VAR PKNAME(0000)] et d'un [VAR PKNAME(0002)] sauvages !","È apparso il Boss [VAR PKNAME(0001)] insieme a un [VAR PKNAME(0000)] selvatico e un [VAR PKNAME(0002)] selvatico!","Boss [VAR PKNAME(0001)] erscheint zusammen mit einem wilden [VAR PKNAME(0000)] und einem wilden [VAR PKNAME(0002)]!","¡El Boss [VAR PKNAME(0001)] ha aparecido junto a un [VAR PKNAME(0000)] y un [VAR PKNAME(0002)] salvajes!","보스 [VAR PKNAME(0001)]이(가) 야생의 [VAR PKNAME(0000)], [VAR PKNAME(0002)]과(와) 함께 나타났다!","ボス[VAR PKNAME(0001)] が やせいの [VAR PKNAME(0000)] と [VAR PKNAME(0002)] と いっしょに あらわれた！"
"Boss [VAR PKNAME(0002)] appeared with a wild [VAR PKNAME(0000)] and [VAR PKNAME(0001)]!","Le boss [VAR PKNAME(0002)] apparaît accompagné d'un [VAR PKNAME(0000)] et d'un [VAR PKNAME(0001)] sauvages !","È apparso il Boss [VAR PKNAME(0002)] insieme a un [VAR PKNAME(0000)] selvatico e un [VAR PKNAME(0001)] selvatico!","Boss [VAR PKNAME(0002)] erscheint zusammen mit einem wilden [VAR PKNAME(0000)] und einem wilden [VAR PKNAME(0001)]!","¡El Boss [VAR PKNAME(0002)] ha aparecido junto a un [VAR PKNAME(0000)] y un [VAR PKNAME(0001)] salvajes!","보스 [VAR PKNAME(0002)]이(가) 야생의 [VAR PKNAME(0000)], [VAR PKNAME(0001)]과(와) 함께 나타났다!","ボス[VAR PKNAME(0002)] が やせいの [VAR PKNAME(0000)] と [VAR PKNAME(0001)] と いっしょに あらわれた！"
"Boss [VAR PKNAME(0000)] and [VAR PKNAME(0001)] appeared with a wild [VAR PKNAME(0002)]!","Les boss [VAR PKNAME(0000)] et [VAR PKNAME(0001)] apparaissent accompagnés d'un [VAR PKNAME(0002)] sauvage !","Sono apparsi i Boss [VAR PKNAME(0000)] e [VAR PKNAME(0001)] insieme a un [VAR PKNAME(0002)] selvatico!","Boss [VAR PKNAME(0000)] und Boss [VAR PKNAME(0001)] erscheinen zusammen mit einem wilden [VAR PKNAME(0002)]!","¡Los Boss [VAR PKNAME(0000)] y [VAR PKNAME(0001)] han aparecido junto a un [VAR PKNAME(0002)] salvaje!","보스 [VAR PKNAME(0000)]과(와) [VAR PKNAME(0001)]이(가) 야생의 [VAR PKNAME(0002)]과(와) 함께 나타났다!","ボス[VAR PKNAME(0000)] と ボス[VAR PKNAME(0001)] が やせいの [VAR PKNAME(0002)] と いっしょに あらわれた！"
